"id","title","authors","published","primary_category","url"
"2506.06287","Deep Research Bench: Evaluating AI Web Research Agents"," FutureSearch;  :; Nikos I. Bosse; Jon Evans; Robert G. Gambee; Daniel Hnyk; Peter Mühlbacher; Lawrence Phillips; Dan Schwarz; Jack Wildman","2025-05-06","cs.AI","https://arxiv.org/abs/2506.06287"
"2507.02592","WebSailor: Navigating Super-human Reasoning for Web Agent","Kuan Li; Zhongwang Zhang; Huifeng Yin; Liwen Zhang; Litu Ou; Jialong Wu; Wenbiao Yin; Baixuan Li; Zhengwei Tao; Xinyu Wang; Weizhou Shen; Junkai Zhang; Dingchu Zhang; Xixi Wu; Yong Jiang; Ming Yan; Pengjun Xie; Fei Huang; Jingren Zhou","2025-07-03","cs.CL","https://arxiv.org/abs/2507.02592"
"2507.09174","RAMA: Retrieval-Augmented Multi-Agent Framework for Misinformation Detection in Multimodal Fact-Checking","Shuo Yang; Zijian Yu; Zhenzhe Ying; Yuqin Dai; Guoqing Wang; Jun Lan; Jinfeng Xu; Jinze Li; Edith C. H. Ngai","2025-07-12","cs.CL","https://arxiv.org/abs/2507.09174"
"2508.04183","Characterizing Deep Research: A Benchmark and Formal Definition","Abhinav Java; Ashmit Khandelwal; Sukruta Midigeshi; Aaron Halfaker; Amit Deshpande; Navin Goyal; Ankur Gupta; Nagarajan Natarajan; Amit Sharma","2025-08-06","cs.CL","https://arxiv.org/abs/2508.04183"
"2508.06600","BrowseComp-Plus: A More Fair and Transparent Evaluation Benchmark of Deep-Research Agent","Zijian Chen; Xueguang Ma; Shengyao Zhuang; Ping Nie; Kai Zou; Andrew Liu; Joshua Green; Kshama Patel; Ruoxi Meng; Mingyi Su; Sahel Sharifymoghaddam; Yanxi Li; Haoran Hong; Xinyu Shi; Xuye Liu; Nandan Thakur; Crystina Zhang; Luyu Gao; Wenhu Chen; Jimmy Lin","2025-08-09","cs.CL","https://arxiv.org/abs/2508.06600"
"2509.09172","Bridging the Gap Between Ideal and Real-world Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios","Chunxiao Li; Xiaoxiao Wang; Meiling Li; Boming Miao; Peng Sun; Yunjian Zhang; Xiangyang Ji; Yao Zhu","2025-09-11","cs.CV","https://arxiv.org/abs/2509.09172"
"2510.14967","Information Gain-based Policy Optimization: A Simple and Effective Approach for Multi-Turn Search Agents","Guoqing Wang; Sunhao Dai; Guangze Ye; Zeyu Gan; Wei Yao; Yong Deng; Xiaofeng Wu; Zhenzhe Ying","2025-10-17","cs.CL","https://arxiv.org/abs/2510.14967"
"2601.12369","Can Deep Research Agents Retrieve and Organize? Evaluating the Synthesis Gap with Expert Taxonomies","Ming Zhang; Jiabao Zhuang; Wenqing Jing; Kexin Tan; Ziyu Kong; Jingyi Deng; Yujiong Shen; Yuhui Wang; Zhenghao Xiang; Qiyuan Peng; Yuhang Zhao; Ning Luo; Renzhe Zheng; Jiahui Lin; Mingqi Wu; Long Ma; Shihan Dou; Maxm Pan; Tao Gui; Qi Zhang; Xuanjing Huang","2026-01-18","cs.CL","https://arxiv.org/abs/2601.12369"
"2601.20975","DeepSearchQA: Bridging the Comprehensiveness Gap for Deep Research Agents","Nikita Gupta; Riju Chatterjee; Lukas Haas; Connie Tao; Andrew Wang; Chang Liu; Hidekazu Oiwa; Elena Gribovskaya; Jan Ackermann; John Blitzer; Sasha Goldshtein; Dipanjan Das","2026-01-29","cs.CL","https://arxiv.org/abs/2601.20975"
"2602.01854","Fact or Fake? Assessing the Role of Deepfake Detectors in Multimodal Misinformation Detection","A S M Sharifuzzaman Sagar; Mohammed Bennamoun; Farid Boussaid; Naeha Sharif; Lian Xu; Shaaban Sahmoud; Ali Kishk","2026-02-02","cs.CV","https://arxiv.org/abs/2602.01854"
